Province,District,Chiefdom,Household Total,Household Male,Household Female,Special Population Total,Special Population Male,Special Population Female,Total,Male,Female
Southern,Pujehun,Panga Krim..........,"6,651","3,175","3,476",-,-,-,"6,651","3,175","3,476"
Southern,Pujehun,Pejeh...............,"10,334","4,858","5,476",-,-,-,"10,334","4,858","5,476"
Southern,Pujehun,Soro Gbema..........,"31,977","14,918","17,059",-,-,-,"31,977","14,918","17,059"
Southern,Pujehun,Sowa................,"13,046","6,308","6,738","2,356","1,155","1,201","15,402","7,463","7,939"
Southern,Pujehun,YKK.................,"7,033","3,426","3,607",-,-,-,"7,033","3,426","3,607"
Southern,Pujehun,Total...........,"225,373","108,415","116,958","3,019","1,698","1,321","228,392","110,113","118,279"
Western,Rural,Koya................,"22,987","10,972","12,015",9,6,3,"22,996","10,978","12,018"
Western,Rural,Mountain............,"8,874","4,571","4,303","1,051",917,134,"9,925","5,488","4,437"
Western,Rural,Waterloo............,"76,323","36,393","39,930","1,468","1,122",346,"77,791","37,515","40,276"
Western,Rural,York Rural..........,"61,623","30,707","30,916","1,914","1,406",508,"63,537","32,113","31,424"
Western,Rural,Total...........,"169,807","82,643","87,164","4,442","3,451",991,"174,249","86,094","88,155"
Western,Urban,Central 1...........,"49,370","24,835","24,535",901,628,273,"50,271","25,463","24,808"
Western,Urban,Central 2...........,"19,886","10,043","9,843",249,140,109,"20,135","10,183","9,952"
Western,Urban,East 1..............,"54,554","26,761","27,793",612,397,215,"55,166","27,158","28,008"
Western,Urban,East 2..............,"79,892","39,754","40,138",42,37,5,"79,934","39,791","40,143"
Western,Urban,East 3..............,"315,033","154,360","160,673","1,376",861,515,"316,409","155,221","161,188"
Western,Urban,West 1..............,"46,127","22,741","23,386",192,109,83,"46,319","22,850","23,469"
Western,Urban,West 2..............,"88,532","43,825","44,707","2,813","1,832",981,"91,345","45,657","45,688"
Western,Urban,West 3..............,"111,090","55,642","55,448","2,204","1,613",591,"113,294","57,255","56,039"
Western,Urban,Total...........,"764,484","377,961","386,523","8,389","5,617","2,772","772,873","383,578","389,295"
